Longitude;Latitude;geohash;unique_prefix
114.94;4.91;w8ceztbfb4m9;w8ceztb
115.0;5.0;w8cu2yhrn5x1;w8cu2yh
114.73;4.77;w8ce4srg6b7n;w8ce4sr
-63.19;-17.75;6sg540dqy21v;6sg540d
-63.18;-17.8;6sg4dr9err9h;6sg4dr9
-63.18;-17.75;6sg5429wz21j;6sg5429
-63.2;-17.75;6sg51benv0pv;6sg51be
-43.11;-22.9;75cmep0mb4tt;75cmep0
-43.12;-22.9;75cmdz0vz4wm;75cmdz0
-43.12;-22.9;75cmdz0vz4wm;75cmdz0
-43.23;-22.98;75cm228ggcxg;75cm228
-43.25;-22.81;75cnpzd61gyt;75cnpzd
-43.18;-22.9;75cm9rjmc4dj;75cm9rj
-43.2;-22.98;75cm2bwez18e;75cm2bw
-43.22;-22.98;75cm2885ucx7;75cm288
-43.18;-22.96;75cm3km231fn;75cm3km
-43.18;-22.95;75cm3qj691f0;75cm3qj
-43.24;-22.92;75cm85996fmc;75cm859
-43.36;-23.0;75cjjkfpqc0p;75cjjkf
-43.28;-22.89;75cjz1h2nfvg;75cjz1h
-43.27;-22.88;75cjz6gdrgj0;75cjz6g
-43.18;-22.9;75cm9rjmc4dj;75cm9rj
-43.18;-22.91;75cm9mm7946p;75cm9mm
-43.18;-22.9;75cm9rjmc4dj;75cm9rj
-43.18;-22.94;75cm3rvkc1fn;75cm3rv
-43.36;-22.98;75cjm2d5yc85;75cjm2d
-43.32;-23.0;75cjnhzr6c5p;75cjnhz
-43.19;-22.98;75cm30w5b1dg;75cm30w
-43.22;-22.98;75cm2885ucx7;75cm288
-43.36;-23.0;75cjjkfpqc0p;75cjjkf
-46.63;-23.62;6gycduj5d0xn;6gycduj
-46.83;-23.5;6gydq3gqtf7x;6gydq3g
-49.05;-22.34;6uj0gv4uh4js;6uj0gv4
-47.06;-22.85;6gyw107cn7pw;6gyw107
-47.08;-22.93;6gyt89trh6nh;6gyt89t
-47.14;-23.01;6gymp71tn3hf;6gymp71
-47.15;-23.01;6gymp54mj34d;6gymp54
-47.05;-22.9;6gyt9r5jzd9v;6gyt9r5
-47.03;-22.89;6gytcc1b1dg5;6gytcc1
-47.02;-22.86;6gytfn3nfe42;6gytfn3
-46.49;-23.43;6gyfwnen27qh;6gyfwne
-46.49;-23.43;6gyfwnen27qh;6gyfwne
-46.48;-23.43;6gyfwqdq3e2k;6gyfwqd
-46.55;-23.49;6gyfkez2f6sv;6gyfkez
-46.54;-23.44;6gyfsuys57hn;6gyfsuy
-46.48;-23.43;6gyfwqdq3e2k;6gyfwqd
-47.65;-22.7;6gyngew6fmps;6gyngew
-47.87;-21.18;6ujzw8q1s1v8;6ujzw8q
-47.82;-21.21;6ujzrffdc1xg;6ujzrff
-47.81;-21.21;6unp24cff1x5;6unp24c
-46.53;-23.67;6gycm5jbk2nj;6gycm5j
-46.31;-23.98;6gxpd4w46u04;6gxpd4w
-46.54;-23.73;6gychbnderkn;6gychbn
-46.55;-23.69;6gychxr7druf;6gychxr
